Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
16/12/2006;17:58:00;4.82;0.533;236.268;25.0;1.59;1.195;16.406
16/12/2006;17:59:00;3.904;0.438;234.819;19.6;1.404;0.695;17.328
16/12/2006;18:00:00;4.985;0.467;235.109;23.6;1.377;1.214;15.822
16/12/2006;18:01:00;4.93;0.427;233.638;18.2;1.526;0.578;16.183
16/12/2006;18:02:00;4.386;0.545;237.967;19.3;0.482;1.104;16.739
16/12/2006;18:03:00;4.843;0.569;237.289;19.2;0.338;1.601;15.108
16/12/2006;18:04:00;3.643;0.425;238.451;15.6;1.488;0.997;17.274
16/12/2006;18:05:00;3.603;0.406;230.216;18.4;0.612;0.82;17.402
16/12/2006;18:06:00;5.588;0.576;239.269;19.5;1.819;0.483;16.281
16/12/2006;18:07:00;5.3;0.449;230.192;21.0;0.7;1.916;17.278
16/12/2006;18:08:00;4.412;0.447;237.406;16.8;0.437;1.715;16.537
16/12/2006;18:09:00;3.287;0.426;232.394;17.4;1.6;1.553;16.246
16/12/2006;18:10:00;3.162;0.515;236.564;18.5;1.844;1.18;16.082
16/12/2006;18:11:00;5.279;0.501;235.45;16.8;1.505;0.353;17.148
16/12/2006;18:12:00;4.691;0.55;239.142;21.1;0.785;0.427;16.721
16/12/2006;18:13:00;4.12;0.573;230.222;19.9;0.937;1.63;15.481
16/12/2006;18:14:00;5.343;0.523;231.509;21.0;1.371;1.904;17.225
16/12/2006;18:15:00;4.258;0.582;238.048;22.7;1.355;0.453;16.8
16/12/2006;18:16:00;5.163;0.55;239.191;15.6;1.255;0.187;16.211
16/12/2006;18:17:00;4.796;0.597;235.922;16.3;1.746;1.309;16.588
16/12/2006;18:18:00;4.797;0.505;230.036;19.3;1.785;1.905;16.436
16/12/2006;18:19:00;5.214;0.47;234.097;24.3;1.081;1.576;15.325
16/12/2006;18:20:00;5.385;0.474;238.814;22.2;1.163;0.593;16.106
16/12/2006;18:21:00;5.996;0.571;231.945;24.9;0.262;1.823;16.294
16/12/2006;18:22:00;3.104;0.43;237.403;16.1;1.529;1.205;17.105
16/12/2006;18:23:00;5.46;0.467;234.152;20.0;0.723;0.717;17.992
16/12/2006;18:24:00;5.772;0.535;239.279;24.1;1.205;0.752;15.634
16/12/2006;18:25:00;3.437;0.491;236.198;16.6;0.286;1.885;16.314
16/12/2006;18:26:00;4.271;0.586;237.124;16.3;1.271;1.069;15.806
16/12/2006;18:27:00;5.77;0.416;235.332;17.7;1.038;1.679;15.618
16/12/2006;18:28:00;3.21;0.544;236.959;16.6;0.001;1.97;17.092
16/12/2006;18:29:00;5.057;0.503;233.544;16.6;1.612;0.317;17.821
16/12/2006;18:30:00;3.093;0.563;239.556;18.8;0.772;0.651;15.879
16/12/2006;18:31:00;5.173;0.492;237.021;21.4;1.604;1.744;16.078
16/12/2006;18:32:00;5.098;0.592;239.999;23.9;0.312;0.887;15.963
16/12/2006;18:33:00;4.5;0.469;231.996;24.8;1.244;0.329;15.637
16/12/2006;18:34:00;5.653;0.547;238.373;19.9;1.929;1.71;17.27
16/12/2006;18:35:00;3.453;0.578;237.89;24.1;1.7;0.352;15.623
16/12/2006;18:36:00;3.896;0.439;230.475;20.2;1.377;1.778;17.206
16/12/2006;18:37:00;4.752;0.438;231.982;16.4;1.592;1.297;17.189
16/12/2006;18:38:00;5.639;0.557;237.605;22.1;0.781;0.851;16.934
16/12/2006;18:39:00;3.828;0.478;235.572;24.1;0.89;0.334;15.604
16/12/2006;18:40:00;5.327;0.462;238.997;22.7;0.881;1.846;17.941
16/12/2006;18:41:00;5.46;0.557;233.509;17.0;1.61;1.469;15.06
16/12/2006;18:42:00;4.378;0.402;238.734;24.1;0.348;1.72;15.746
16/12/2006;18:43:00;5.723;0.494;235.475;22.9;1.611;1.435;15.021
16/12/2006;18:44:00;4.669;0.6;239.393;18.5;1.679;0.197;15.822
16/12/2006;18:45:00;5.571;0.413;234.517;17.3;1.948;1.824;17.525
16/12/2006;18:46:00;4.883;0.582;239.856;20.7;0.744;1.743;17.578
16/12/2006;18:47:00;3.319;0.59;231.539;21.0;0.58;0.193;16.101
16/12/2006;18:48:00;5.729;0.568;230.696;23.6;0.18;0.725;17.016
16/12/2006;18:49:00;5.002;0.45;234.958;17.9;0.471;0.333;16.213
16/12/2006;18:50:00;4.988;0.546;233.469;17.6;0.17;1.872;15.317
16/12/2006;18:51:00;3.203;0.446;232.739;19.7;0.575;0.804;17.378
16/12/2006;18:52:00;5.863;0.491;238.767;23.3;1.217;0.129;17.927
16/12/2006;18:53:00;4.756;0.57;237.871;19.0;1.68;0.751;17.508
16/12/2006;18:54:00;4.231;0.489;234.284;15.4;0.141;0.292;17.967
16/12/2006;18:55:00;4.272;0.449;235.051;15.3;0.191;0.085;16.1
16/12/2006;18:56:00;3.609;0.434;233.389;21.0;1.353;0.581;16.891
16/12/2006;18:57:00;3.073;0.514;236.388;19.5;0.907;1.036;15.204
16/12/2006;18:58:00;4.521;0.506;238.174;22.6;0.268;0.675;16.429
16/12/2006;18:59:00;4.729;0.539;237.892;19.6;0.559;0.599;16.814
16/12/2006;19:00:00;4.141;0.414;236.058;17.3;1.181;1.698;17.632
16/12/2006;19:01:00;3.302;0.516;239.94;17.2;1.715;1.735;16.742
16/12/2006;19:02:00;5.442;0.427;231.578;23.2;0.658;1.719;15.896
16/12/2006;19:03:00;4.876;0.44;234.13;19.7;0.447;1.952;16.4
16/12/2006;19:04:00;4.44;0.416;235.896;15.1;0.172;0.411;16.57
16/12/2006;19:05:00;4.473;0.506;234.856;16.0;0.479;0.715;16.714
16/12/2006;19:06:00;5.732;0.596;234.133;21.3;0.773;1.015;17.738
16/12/2006;19:07:00;3.537;0.449;233.982;15.8;0.487;1.256;16.817
16/12/2006;19:08:00;4.521;0.54;230.593;19.7;0.616;1.767;15.887
16/12/2006;19:09:00;5.065;0.408;238.002;19.4;1.782;0.344;16.666
16/12/2006;19:10:00;4.166;0.437;236.736;22.3;0.393;1.111;17.737
16/12/2006;19:11:00;4.831;0.506;233.843;16.5;1.383;1.535;15.53
16/12/2006;19:12:00;4.045;0.536;236.001;22.3;1.06;0.433;17.351
16/12/2006;19:13:00;3.014;0.403;234.289;16.9;0.619;1.925;15.17
16/12/2006;19:14:00;3.545;0.429;235.501;20.4;1.003;1.288;15.312
16/12/2006;19:15:00;3.388;0.464;232.488;20.7;1.7;0.048;15.789
16/12/2006;19:16:00;5.255;0.549;236.1;19.3;1.65;1.031;17.681
16/12/2006;19:17:00;3.21;0.455;234.748;24.6;0.103;0.809;16.514
16/12/2006;19:18:00;3.619;0.44;239.928;20.0;1.281;1.544;15.752
16/12/2006;19:19:00;5.821;0.509;232.791;18.1;0.956;0.856;16.49
16/12/2006;19:20:00;4.472;0.585;230.554;18.9;0.928;0.898;17.402
16/12/2006;19:21:00;4.742;0.462;235.548;23.8;1.793;0.268;16.182
16/12/2006;19:22:00;4.427;0.431;232.361;24.1;0.618;1.449;16.335
16/12/2006;19:23:00;5.803;0.597;238.125;19.0;1.424;1.075;15.995
16/12/2006;19:24:00;5.397;0.433;230.105;20.0;0.536;0.686;17.597
16/12/2006;19:25:00;3.329;0.54;237.396;21.1;1.261;0.949;17.749
16/12/2006;19:26:00;3.251;0.585;236.426;19.3;0.059;0.821;16.439
16/12/2006;19:27:00;3.012;0.51;237.351;20.1;1.258;1.873;17.181
16/12/2006;19:28:00;5.612;0.557;236.608;16.5;1.043;1.409;15.772
16/12/2006;19:29:00;3.533;0.412;239.329;16.7;0.762;1.42;16.625
16/12/2006;19:30:00;3.25;0.579;235.975;17.6;0.073;1.19;17.458
16/12/2006;19:31:00;5.817;0.503;234.241;15.3;1.724;1.333;17.674
16/12/2006;19:32:00;5.162;0.596;236.814;19.6;1.953;0.84;16.08
16/12/2006;19:33:00;4.981;0.432;233.469;18.6;1.592;0.475;16.02
16/12/2006;19:34:00;5.111;0.472;231.959;22.7;1.765;0.213;15.47
16/12/2006;19:35:00;4.164;0.427;239.516;19.4;1.386;0.639;15.153
16/12/2006;19:36:00;5.964;0.536;238.954;20.0;0.96;1.293;17.684
16/12/2006;19:37:00;3.672;0.565;237.352;15.8;0.724;0.631;17.571
16/12/2006;19:38:00;3.883;0.487;233.049;19.6;0.937;1.036;16.973
16/12/2006;19:39:00;5.391;0.458;238.825;18.9;1.879;0.359;17.416
16/12/2006;19:40:00;4.104;0.536;236.022;18.2;1.501;0.475;17.764
16/12/2006;19:41:00;3.327;0.577;231.005;21.5;1.831;0.56;17.488
16/12/2006;19:42:00;3.568;0.509;231.062;17.2;0.157;1.813;15.86
16/12/2006;19:43:00;5.764;0.437;231.353;15.4;1.14;1.761;17.488
16/12/2006;19:44:00;5.7;0.434;230.542;20.4;0.621;0.998;15.536
16/12/2006;19:45:00;3.835;0.416;236.166;16.0;0.564;0.57;17.253
16/12/2006;19:46:00;5.743;0.545;232.669;19.8;1.826;1.179;16.759
16/12/2006;19:47:00;5.497;0.462;238.44;19.3;0.861;1.683;17.964
16/12/2006;19:48:00;3.319;0.57;230.771;24.7;1.388;0.45;16.253
16/12/2006;19:49:00;3.638;0.565;237.951;16.0;1.869;1.144;17.89
16/12/2006;19:50:00;3.52;0.411;231.613;15.4;0.167;0.484;17.3
16/12/2006;19:51:00;3.831;0.585;232.227;24.8;0.138;1.741;15.139
16/12/2006;19:52:00;3.998;0.431;234.692;18.0;0.495;1.87;16.954
16/12/2006;19:53:00;5.677;0.579;236.832;19.5;1.839;1.938;16.673
16/12/2006;19:54:00;4.788;0.558;235.78;15.7;1.757;0.588;17.044
16/12/2006;19:55:00;5.196;0.446;230.347;18.3;0.952;1.323;15.228
16/12/2006;19:56:00;3.25;0.422;230.265;18.3;1.916;1.879;15.75
16/12/2006;19:57:00;3.673;0.595;237.724;23.8;0.682;1.796;15.534
16/12/2006;19:58:00;4.867;0.534;230.945;20.8;0.878;1.666;15.511
16/12/2006;19:59:00;5.736;0.53;230.122;16.4;1.674;1.464;16.017
16/12/2006;20:00:00;5.945;0.521;237.674;22.1;1.238;0.052;15.596
16/12/2006;20:01:00;4.914;0.468;236.35;16.7;0.046;0.428;17.043
16/12/2006;20:02:00;5.045;0.545;237.27;24.0;0.035;0.068;17.796
16/12/2006;20:03:00;4.421;0.475;237.743;17.5;0.166;0.343;17.428
16/12/2006;20:04:00;4.068;0.505;235.482;20.1;1.844;0.188;17.063
16/12/2006;20:05:00;3.001;0.421;233.083;22.6;0.15;1.007;17.486
16/12/2006;20:06:00;4.547;0.42;234.004;20.7;1.123;0.333;17.841
16/12/2006;20:07:00;3.009;0.429;234.459;23.8;1.583;1.661;16.898
16/12/2006;20:08:00;4.485;0.414;235.693;15.9;1.79;1.823;16.171
16/12/2006;20:09:00;4.63;0.468;235.485;21.7;1.619;0.014;17.635
16/12/2006;20:10:00;5.656;0.488;232.954;24.1;1.517;0.043;17.499
16/12/2006;20:11:00;3.674;0.451;235.593;24.8;1.891;1.992;16.997
16/12/2006;20:12:00;4.619;0.508;230.361;18.3;0.561;1.352;17.878
16/12/2006;20:13:00;5.944;0.528;232.613;20.7;1.203;0.81;15.064
16/12/2006;20:14:00;4.253;0.538;239.645;15.8;0.761;1.698;15.155
16/12/2006;20:15:00;3.421;0.511;237.81;15.9;1.693;0.873;17.135
16/12/2006;20:16:00;4.834;0.514;232.899;18.1;1.944;0.58;15.073
16/12/2006;20:17:00;3.55;0.54;235.042;20.1;1.258;0.817;15.841
16/12/2006;20:18:00;4.581;0.572;234.316;18.8;0.015;1.552;16.545
16/12/2006;20:19:00;3.27;0.504;230.893;20.8;0.218;0.913;16.623
16/12/2006;20:20:00;5.159;0.561;232.17;15.5;1.813;0.75;15.627
16/12/2006;20:21:00;3.973;0.465;238.326;17.9;0.946;0.202;15.777
16/12/2006;20:22:00;4.318;0.49;238.362;24.2;0.557;1.841;16.785
16/12/2006;20:23:00;3.287;0.584;238.403;16.0;1.536;1.644;15.66
16/12/2006;20:24:00;3.041;0.559;236.203;20.1;1.324;1.742;17.307
16/12/2006;20:25:00;4.823;0.495;232.795;23.9;1.762;0.276;16.887
16/12/2006;20:26:00;4.288;0.464;239.554;18.7;1.58;0.783;16.379
16/12/2006;20:27:00;3.059;0.436;233.31;23.9;0.55;1.019;17.043
16/12/2006;20:28:00;3.517;0.468;239.032;22.1;0.145;0.475;16.458
16/12/2006;20:29:00;4.387;0.428;230.269;17.6;1.136;0.597;16.04
16/12/2006;20:30:00;5.754;0.469;235.017;16.7;0.58;0.588;15.654
16/12/2006;20:31:00;5.488;0.554;230.032;16.5;0.288;1.187;15.907
16/12/2006;20:32:00;4.812;0.444;233.348;16.3;0.533;1.271;15.615
16/12/2006;20:33:00;4.363;0.477;230.646;24.2;1.323;1.443;17.808
16/12/2006;20:34:00;3.71;0.513;232.009;16.0;1.708;1.749;15.388
16/12/2006;20:35:00;3.419;0.52;235.644;20.4;1.23;1.789;16.932
16/12/2006;20:36:00;3.102;0.573;231.377;20.9;0.241;0.39;16.063
16/12/2006;20:37:00;3.263;0.439;234.015;16.4;0.289;0.636;17.091
16/12/2006;20:38:00;4.857;0.468;238.341;18.7;0.085;0.596;15.653
16/12/2006;20:39:00;3.976;0.473;231.145;15.6;1.2;1.779;16.88
16/12/2006;20:40:00;3.9;0.539;233.253;15.2;0.824;1.956;16.186
16/12/2006;20:41:00;3.922;0.457;234.326;24.7;0.012;1.764;17.089
16/12/2006;20:42:00;3.556;0.412;237.104;24.5;0.353;1.303;15.495
16/12/2006;20:43:00;4.463;0.582;231.141;16.8;1.901;0.345;17.655
16/12/2006;20:44:00;3.984;0.521;230.891;21.5;1.558;1.307;15.269
16/12/2006;20:45:00;3.974;0.407;238.839;21.3;1.794;0.609;15.79
16/12/2006;20:46:00;4.881;0.41;234.532;23.9;0.319;1.581;17.953
16/12/2006;20:47:00;5.932;0.462;232.182;19.8;1.533;0.222;17.898
16/12/2006;20:48:00;5.005;0.522;238.007;23.2;0.287;1.048;17.966
16/12/2006;20:49:00;4.957;0.511;235.578;16.9;0.272;1.266;15.311
16/12/2006;20:50:00;5.941;0.59;237.685;19.2;1.347;0.45;15.122
16/12/2006;20:51:00;3.324;0.464;232.032;16.1;1.231;1.913;15.292
16/12/2006;20:52:00;5.994;0.495;236.461;16.1;0.186;0.901;15.89
16/12/2006;20:53:00;4.532;0.518;235.16;16.2;0.807;0.475;17.663
16/12/2006;20:54:00;5.46;0.566;234.99;24.2;0.628;1.587;16.874
16/12/2006;20:55:00;3.371;0.538;231.898;18.4;1.598;0.577;15.157
16/12/2006;20:56:00;4.702;0.416;236.222;19.3;1.66;0.6;17.23
16/12/2006;20:57:00;4.885;0.585;235.06;24.0;0.826;1.946;17.018
16/12/2006;20:58:00;4.459;0.4;233.909;24.8;0.569;0.746;15.617
16/12/2006;20:59:00;5.922;0.504;239.959;24.2;1.266;0.156;17.468
16/12/2006;21:00:00;4.435;0.589;235.679;22.1;0.65;0.505;17.451
16/12/2006;21:01:00;3.898;0.542;230.703;17.9;1.844;1.058;15.368
16/12/2006;21:02:00;5.852;0.512;234.651;18.8;1.793;0.797;15.862
16/12/2006;21:03:00;5.158;0.434;235.947;23.2;1.956;1.237;16.632
16/12/2006;21:04:00;5.814;0.546;232.241;18.7;1.68;0.757;16.602
16/12/2006;21:05:00;5.768;0.407;233.201;19.3;1.81;1.316;17.695
16/12/2006;21:06:00;5.318;0.563;239.09;15.1;0.884;0.787;17.966
16/12/2006;21:07:00;5.765;0.556;237.357;23.0;1.426;0.439;15.999
16/12/2006;21:08:00;5.104;0.525;239.411;19.4;0.479;0.585;16.038
16/12/2006;21:09:00;5.022;0.569;234.135;20.5;0.717;0.626;16.228
16/12/2006;21:10:00;3.234;0.515;236.051;18.5;1.718;1.451;16.338
16/12/2006;21:11:00;4.727;0.437;231.65;17.3;0.633;0.978;15.318
16/12/2006;21:12:00;3.104;0.597;233.387;18.7;0.545;1.341;15.545
16/12/2006;21:13:00;5.335;0.525;236.08;23.8;1.703;1.756;16.312
16/12/2006;21:14:00;4.012;0.556;238.618;22.0;0.367;0.549;15.228
16/12/2006;21:15:00;5.363;0.413;232.379;17.0;0.749;0.493;17.3
16/12/2006;21:16:00;4.138;0.563;238.115;16.8;0.392;1.542;15.441
16/12/2006;21:17:00;3.546;0.485;230.782;19.7;1.453;0.534;16.018
16/12/2006;21:18:00;5.925;0.577;231.941;16.9;0.353;1.804;16.869
16/12/2006;21:19:00;3.282;0.543;231.488;16.3;0.187;1.766;16.742
16/12/2006;21:20:00;3.819;0.479;238.597;17.9;0.971;0.283;17.565
16/12/2006;21:21:00;3.706;0.444;239.77;17.5;1.331;1.095;17.198
16/12/2006;21:22:00;4.487;0.506;236.738;24.4;0.407;0.507;16.561
16/12/2006;21:23:00;4.027;0.586;230.274;16.7;1.616;1.741;16.993
16/12/2006;21:24:00;5.141;0.594;235.811;20.6;1.76;0.155;16.102
16/12/2006;21:25:00;4.762;0.529;230.154;15.8;1.153;1.968;16.788
16/12/2006;21:26:00;4.715;0.433;235.661;15.6;0.132;0.444;15.467
16/12/2006;21:27:00;5.172;0.439;233.335;20.0;1.202;1.508;16.487
16/12/2006;21:28:00;4.12;0.558;236.562;24.6;0.01;0.527;15.04
16/12/2006;21:29:00;4.996;0.451;233.59;24.1;0.574;0.023;15.974
16/12/2006;21:30:00;3.665;0.58;238.088;15.0;1.545;1.379;17.345
16/12/2006;21:31:00;4.556;0.442;237.191;16.9;0.343;0.625;15.42
16/12/2006;21:32:00;3.53;0.584;237.237;23.3;0.925;1.154;17.31
16/12/2006;21:33:00;5.717;0.428;230.872;18.1;1.602;0.227;17.465
16/12/2006;21:34:00;5.136;0.419;235.037;21.5;0.038;1.119;17.588
16/12/2006;21:35:00;4.57;0.569;233.899;16.2;0.607;0.299;15.653
16/12/2006;21:36:00;3.641;0.466;236.679;23.7;1.534;0.141;17.855
16/12/2006;21:37:00;3.156;0.532;230.655;20.0;1.667;1.08;16.143
16/12/2006;21:38:00;3.961;0.51;232.004;19.0;0.828;0.205;16.519
16/12/2006;21:39:00;3.704;0.564;234.966;16.1;0.337;0.734;16.75
16/12/2006;21:40:00;3.75;0.481;235.297;19.9;0.284;1.078;15.509
16/12/2006;21:41:00;3.403;0.567;233.496;15.1;0.879;1.412;16.005
16/12/2006;21:42:00;3.665;0.57;234.318;16.5;0.567;0.072;17.537
16/12/2006;21:43:00;5.337;0.587;239.368;17.4;0.791;1.285;16.543
16/12/2006;21:44:00;3.602;0.413;232.233;19.2;0.26;0.846;17.988
16/12/2006;21:45:00;5.554;0.481;235.426;15.3;1.819;0.576;17.402
16/12/2006;21:46:00;3.721;0.507;238.046;21.7;0.06;1.308;16.549
16/12/2006;21:47:00;5.181;0.594;235.703;22.7;0.843;1.277;16.713
16/12/2006;21:48:00;4.421;0.437;230.603;18.8;1.018;0.081;16.539
16/12/2006;21:49:00;5.098;0.564;238.077;16.8;1.746;0.214;16.161
16/12/2006;21:50:00;4.669;0.594;237.994;20.1;1.399;0.81;16.88
16/12/2006;21:51:00;3.211;0.511;233.097;19.8;1.4;1.701;17.203
16/12/2006;21:52:00;5.57;0.551;231.215;24.2;0.159;0.318;16.458
16/12/2006;21:53:00;4.516;0.467;232.001;21.0;1.632;1.108;17.243
16/12/2006;21:54:00;4.524;0.491;238.743;19.5;0.421;0.323;16.373
16/12/2006;21:55:00;3.434;0.567;233.16;18.6;1.11;0.941;17.946
16/12/2006;21:56:00;4.176;0.405;236.668;20.6;0.418;1.868;15.73
16/12/2006;21:57:00;4.693;0.439;233.146;16.5;1.796;1.526;17.604
16/12/2006;21:58:00;4.538;0.481;232.525;19.0;0.268;1.925;16.497
16/12/2006;21:59:00;3.87;0.598;231.365;20.3;1.361;1.856;17.78
16/12/2006;22:00:00;3.464;0.57;230.828;19.7;0.856;1.374;17.923
16/12/2006;22:01:00;4.754;0.545;238.653;24.8;0.212;0.389;15.525
16/12/2006;22:02:00;5.249;0.52;235.105;18.8;0.865;1.119;17.412
16/12/2006;22:03:00;4.073;0.54;238.946;24.9;1.968;0.591;17.861
16/12/2006;22:04:00;5.457;0.472;236.449;21.6;1.757;0.934;16.739
16/12/2006;22:05:00;3.757;0.435;235.202;17.0;1.817;0.754;15.87
16/12/2006;22:06:00;4.062;0.441;235.614;16.4;1.321;0.677;15.332
16/12/2006;22:07:00;4.582;0.499;235.821;23.6;0.9;1.741;16.029
16/12/2006;22:08:00;3.258;0.432;232.734;16.1;1.808;0.112;16.278
16/12/2006;22:09:00;3.278;0.548;238.119;24.8;1.333;1.455;15.112
16/12/2006;22:10:00;4.633;0.505;234.259;16.5;0.446;1.261;16.595
16/12/2006;22:11:00;4.803;0.551;235.385;23.3;0.471;1.916;17.357
16/12/2006;22:12:00;4.996;0.591;237.522;19.3;0.333;0.289;16.316
16/12/2006;22:13:00;4.925;0.466;239.97;21.5;0.856;1.34;17.044
16/12/2006;22:14:00;3.235;0.427;235.839;19.5;1.225;0.202;16.358
16/12/2006;22:15:00;3.36;0.583;234.42;23.6;1.082;0.799;16.221
16/12/2006;22:16:00;3.553;0.523;238.306;18.4;0.438;1.404;16.519
16/12/2006;22:17:00;5.18;0.446;232.919;18.6;0.995;1.486;16.298
16/12/2006;22:18:00;4.695;0.465;237.371;21.1;0.354;0.928;15.893
16/12/2006;22:19:00;4.03;0.522;233.141;20.7;0.128;1.243;15.583
16/12/2006;22:20:00;4.317;0.412;231.644;18.9;1.439;1.642;17.137
16/12/2006;22:21:00;4.4;0.434;235.518;23.3;0.678;0.966;16.913
16/12/2006;22:22:00;5.356;0.552;232.759;21.5;0.232;1.736;15.509
16/12/2006;22:23:00;5.81;0.591;232.911;16.3;1.884;0.503;16.415
